frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
2,6.91,7.0,2.58,2.52,6.15,1.23,13.3,-0.1,0.168,-0.01
3,6.91,7.0,2.58,2.52,6.15,1.23,13.3,-0.1,0.168,-0.01
4,7.05,7.12,2.48,2.41,6.09,1.15,12.84,-0.11,0.167,-0.01
5,7.08,7.14,2.43,2.35,6.16,1.2,12.91,-0.11,0.167,-0.01
6,7.1,7.17,2.43,2.35,6.23,1.34,13.44,-0.13,0.169,0.0
7,7.04,7.13,2.51,2.44,6.33,1.48,13.94,-0.12,0.167,0.01
8,6.92,7.01,2.56,2.48,6.46,1.67,14.49,-0.13,0.166,0.01
9,6.92,7.01,2.56,2.48,6.46,1.67,14.49,-0.13,0.166,0.01
10,6.84,6.94,2.57,2.5,6.42,1.84,14.62,-0.12,0.163,0.01
11,6.79,6.9,2.57,2.51,6.47,1.77,14.58,-0.12,0.163,0.01
12,6.91,7.01,2.38,2.32,6.35,1.8,14.42,-0.12,0.165,0.01
13,6.79,6.87,2.05,1.97,6.24,1.33,14.11,-0.11,0.166,-0.01
14,6.79,6.87,2.05,1.97,6.24,1.33,14.11,-0.11,0.166,-0.01
15,6.6,6.71,2.13,2.05,6.21,1.64,14.43,-0.11,0.166,-0.02
16,6.92,6.98,1.99,1.93,5.88,1.77,12.86,-0.1,0.151,-0.02
17,6.92,6.98,1.99,1.93,5.88,1.77,12.86,-0.1,0.151,-0.02
18,6.63,6.7,2.14,2.05,5.91,2.75,11.84,-0.1,0.151,-0.02
19,6.7,6.76,2.21,2.14,6.03,2.12,11.57,-0.11,0.153,-0.02
20,6.63,6.7,2.32,2.27,6.08,1.6,11.63,-0.11,0.15,-0.01
21,6.61,6.68,2.37,2.32,6.12,1.62,11.89,-0.09,0.154,-0.01
22,6.5,6.57,2.44,2.38,6.13,1.27,12.06,-0.1,0.154,-0.01
23,6.52,6.63,2.37,2.3,6.36,1.7,13.7,-0.1,0.168,-0.01
24,6.66,6.76,2.38,2.31,6.25,1.35,14.0,-0.1,0.173,-0.01
25,6.62,6.75,2.43,2.37,6.28,1.5,14.05,-0.11,0.173,-0.01
26,6.71,6.82,2.43,2.37,6.27,1.28,13.89,-0.1,0.17,-0.01
27,6.63,6.76,2.47,2.41,6.23,1.24,13.85,-0.1,0.169,-0.01
28,6.75,6.86,2.52,2.46,6.25,1.18,13.68,-0.1,0.166,0.0
29,6.72,6.81,2.56,2.47,6.21,1.15,13.55,-0.11,0.165,-0.01
30,6.64,6.73,2.47,2.38,6.31,1.17,13.63,-0.11,0.153,0.0
31,6.44,6.54,2.52,2.44,6.26,1.22,13.52,-0.13,0.136,0.02
32,6.66,6.74,2.37,2.27,6.28,1.27,13.62,-0.13,0.119,0.02
33,6.58,6.65,2.72,2.62,6.3,1.24,13.79,-0.13,0.094,0.04
34,6.63,6.74,2.75,2.67,6.33,1.28,13.82,-0.12,0.068,0.05
35,6.64,6.71,2.7,2.65,6.33,1.31,13.9,-0.11,0.045,0.06
36,6.53,6.59,2.67,2.64,6.32,1.39,14.0,-0.1,0.026,0.07
37,6.63,6.7,2.66,2.63,6.34,1.56,14.08,-0.09,0.009,0.08
38,6.58,6.64,2.58,2.57,6.38,1.52,14.15,-0.09,-0.01,0.07
39,6.62,6.65,2.6,2.6,6.36,1.6,14.11,-0.09,-0.031,0.07
40,6.71,6.71,2.54,2.55,6.18,1.62,13.38,-0.08,-0.042,0.07
41,6.91,6.91,2.44,2.44,5.94,1.59,12.56,-0.08,-0.043,0.09
42,6.9,6.85,2.49,2.47,5.93,1.39,12.25,-0.08,-0.044,0.1
43,7.29,7.16,2.27,2.23,5.77,1.64,12.65,-0.08,-0.064,0.11
44,7.2,7.05,2.25,2.19,5.76,1.37,11.78,-0.07,-0.073,0.14
45,7.35,7.14,2.17,2.1,5.57,1.09,11.95,-0.07,-0.093,0.16
